authorID,rank,name,PaperCount,CitationCount,year
2651294325,14757,José A. Blakeley,90,2654,2009
2153722525,15308,José L. Encarnação,230,614,1996
2141313922,13095,José Meseguer,456,18976,2020
705764827,14985,Joël Ouaknine,135,3328,2021
2133271327,15385,Juan E. Gilbert,225,1239,2018
2248165042,11822,Judea Pearl,445,65196,2015
2471044010,15742,Judith Gal-Ezer,84,1005,2021
2121613656,15227,Judith S. Olson,87,1862,2008
1983359683,13518,Julia Hirschberg,325,13453,2015
2116519607,13884,Juliana Freire,275,9550,2014
327575412,13202,Juris Hartmanis,208,9997,1994
2245648575,13642,Justine Cassell,173,11284,2016
2094197253,13404,János Pach,415,10961,2011
3175435962,15564,K. K. Ramakrishnan,42,1238,2017
710865586,13785,K. Rustan M. Leino,127,9931,2016
2150011549,11576,Kalyanmoy Deb,721,106254,2022
2160067404,12428,Kang G. Shin,851,32847,2001
39739974,14008,Karem A. Sakallah,200,7383,2012
2062901400,13216,Katherine Yelick,280,13321,2012
2134374908,15099,Kathleen Fisher,89,1948,2010
2115847858,13745,Kathryn S. McKinley,238,11479,2008
2143783256,14241,Katy Börner,244,7751,2018
2050228312,14005,Kavita Bala,158,7223,2019
2155786059,14204,Keith D. Cooper,132,5235,2005
677445823,14114,Keith Marzullo,150,4845,2011
726568899,13658,Kenneth C. Sevcik,87,6546,1997
2192925305,13954,Kenneth E. Batcher,62,3274,1994
235792877,12895,Kenneth Steiglitz,199,12311,1997
2114684898,13362,Kentaro Toyama,241,14189,2022
741769158,13072,Keshab K. Parhi,754,17129,2020
651843436,14054,Keshav Pingali,257,7705,2012
2086421335,13519,Kevin Fall,59,11133,2015
1964944407,13899,Kevin Fu,117,7912,2022
191979884,13844,Kevin Leyton-Brown,182,11949,2020
1975721694,13233,Kevin Skadron,301,17899,2015
1894617025,14402,Kimberly Keeton,111,4304,2018
159144305,12892,Klara Nahrstedt,687,20832,2012
2073670118,16129,Koji Torii,77,557,1999
2086842834,12932,Krishnendu Chakrabarty,1054,24240,2013
323797451,13180,Krithi Ramamritham,460,14087,2001
677108321,13537,Krste Asanovic,228,12555,2018
2137211123,13106,Kui Ren,466,26293,2020
2463834394,14111,Kun Zhou,247,9257,2020
512556102,13115,Kurt Mehlhorn,571,16295,1999
1933211966,14571,Kyu-Young Whang,189,3464,2009
2161168953,13329,Kyuseok Shim,165,13039,2013
2113696107,15060,L. Jean Camp,214,2047,2021
2276785809,13662,Lance Fortnow,177,7542,2007
704531558,14542,Larry Constantine,74,2329,2007
2144500278,12331,Larry L. Peterson,199,26654,2000
2123954037,12028,Larry S. Davis,715,45727,2012
2170557315,14539,Lars Arge,160,5351,2012
2149590827,14748,Lars Birkedal,172,4343,2017
2304639312,13652,Laura M. Haas,100,8351,2006
2057929015,13900,Laurie Hendren,173,8902,2009
2175749388,13684,Laurie Williams,392,11598,2020
2242628833,13654,Lawrence A. Rowe,102,5560,1998
2016735973,13847,Lawrence C. Paulson,249,10405,2008
2150766934,15201,Lawrence H. Landweber,30,1423,1996
2115450241,13314,Laxmikant V. Kale,375,25390,2017
258781275,12697,Leandros Tassiulas,589,23025,2020
2248607981,13886,Leon J. Osterweil,293,5538,1998
253749410,11975,Leonard Kleinrock,247,21148,2000
2009176085,12228,Leonard M. Adleman,73,22760,2021
1971151415,14128,Leonid Libkin,268,7638,2012
356043702,12123,Leonidas J. Guibas,576,60408,1999
2000097935,12529,Leslie G. Valiant,110,24668,2012
2096750770,11861,Leslie Lamport,236,44049,2014
2162413711,14790,Li Erran Li,74,3963,2017
2158515488,13622,Lidong Zhou,129,9378,2019
2264739303,14195,Lieven Eeckhout,335,7621,2021
2121935375,13606,Lili Qiu,171,10706,2018
2124867291,12880,Lillian Lee,87,24263,2018
2263195242,13884,Limsoon Wong,394,11599,2013
2111073952,13877,Lin Zhong,203,8223,2021
2144557644,13262,Lionel C. Briand,366,20049,2020
1984940772,13541,Lise Getoor,318,16005,2019
2170506047,11817,Lixia Zhang,355,39906,2006
2251223525,13610,Lixin Gao,328,11251,2012
2292936287,13892,Lorenzo Alvisi,121,9053,2010
368046975,12986,Lorrie Faith Cranor,356,21881,2014
285822418,14794,Louiqa Raschid,189,2703,2016
2054437942,12368,Luca Benini,1438,39313,2016
331751290,13216,Luca Cardelli,233,17278,2004
2115996045,14126,Luca Trevisan,189,7437,2021
2900035843,12936,Lui Sha,342,17694,2005
2023575095,13222,Luiz Andre Barroso,46,12368,2010
360895095,14032,M. Tamer Özsu,292,8516,2006
466258520,12866,Madhu Sudan,223,19332,2008
2345141441,13613,Magdalena Balazinska,170,9891,2019
416104820,12179,Mahadev Satyanarayanan,268,26710,2002
718039462,13534,Maneesh Agrawala,239,14051,2022
2114032439,14014,Manish Gupta,216,6686,2012
2157372337,13858,Manish Parashar,556,9198,2020
2163096604,12736,Manuel Blum,97,15265,2020
2268913824,14180,Manuel V. Hermenegildo,431,6189,2022
2108671403,12924,Manuela Veloso,699,22312,2016
2073891704,12411,Marc Levoy,143,32868,2007
2027155665,13915,Marc Najork,170,7367,2019
2198039525,12789,Marc Pollefeys,553,28041,2022
2282086102,13412,Marc Snir,229,12232,1999
2115609526,13944,Margaret Burnett,276,7830,2017
1972692845,13000,Margaret Martonosi,279,20285,2009
2337629383,13313,Margo Seltzer,222,9998,2011
720839854,14644,Maria Klawe,86,2918,1996
2078136799,14088,Marianne Winslett,294,6455,2006
563121846,11928,Mario Gerla,1049,47634,2018
2068669492,14740,Mark Braverman,161,4243,2021
91397146,12717,Mark Crovella,193,19529,2010
2112660313,12846,Mark D. Hill,292,22199,2004
195157884,13653,Mark Guzdial,294,10446,2014
1979641284,13685,Mark S. Ackerman,198,10758,2013
