authorID,rank,name,year,fellow,compareAuthorID,deviation,hIndex,CorePaperCount,CoreCitationCount,CorehIndex,PaperCount,CitationCount
216611935,13603,Catherine Plaisant,0,False,1505021651,0.0231512929663237,53,130,6972,40,281,11986
216611935,13603,Catherine Plaisant,0,False,1505021651,0.0231512929663237,53,130,6972,40,281,11986
216611935,13603,Catherine Plaisant,0,False,3209567881,0.0222563785595117,53,130,6972,40,281,11986
216611935,13603,Catherine Plaisant,0,False,3209567881,0.0222563785595117,53,130,6972,40,281,11986
2626293155,13555,Jie Liu,0,False,2115607830,0.045553826342954,57,121,4233,36,295,12472
2626293155,13555,Jie Liu,0,False,2041783100,0.0382892953929538,57,121,4233,36,295,12472
2626293155,13555,Jie Liu,0,False,2128927081,0.0254856314032356,57,121,4233,36,295,12472
2626293155,13555,Jie Liu,0,False,2171934779,0.047279745542479,57,121,4233,36,295,12472
2626293155,13555,Jie Liu,0,False,3209567881,0.0619681753651595,57,121,4233,36,295,12472
243971977,14017,Julia Hippisley-Cox,0,False,2115607830,0.0475249297579913,58,148,9407,50,263,12542
243971977,14017,Julia Hippisley-Cox,0,False,2133221332,0.0450453279370118,58,148,9407,50,263,12542
2168727892,13817,Desney S. Tan,0,False,2115388567,0.028200791327651,65,97,4727,39,253,11953
2168727892,13817,Desney S. Tan,0,False,265232414,0.0530831777206683,65,97,4727,39,253,11953
104702931,14028,Per Runeson,0,False,2115388567,0.0327571747667546,39,136,6374,28,256,11998
79138794,13732,Charles DeLisi,0,False,2115388567,0.0329533939193567,57,148,7714,47,241,12046
79138794,13732,Charles DeLisi,0,False,265232414,0.0498328099289243,57,148,7714,47,241,12046
1913332324,13215,Charles A. Micchelli,0,False,2115388567,0.0431920689831278,57,111,6332,41,245,11971
2233563443,14231,Sandy Srinivas,0,False,2115388567,0.0463776062876143,48,75,790,14,255,12184
2625138606,14309,Hua Xu,0,False,2244150349,0.0061128111435164,49,169,3679,32,385,8457
2585884792,14155,Qiang Shen,0,False,2244150349,0.0202686778222955,41,264,6751,36,379,8658
2034478129,13649,Tamás Roska,0,False,2244150349,0.0300777624538403,39,246,4670,30,395,8368
2034478129,13649,Tamás Roska,0,False,2268403478,0.0571528465133228,39,246,4670,30,395,8368
2620384179,14533,Jie Yang,0,False,2244150349,0.0306072535515924,51,231,5771,42,367,8517
2620384179,14533,Jie Yang,0,False,2421154409,0.0355211813443805,51,231,5771,42,367,8517
2131931065,14064,Christoph Koch,0,False,2244150349,0.0432759712683582,50,224,3754,33,416,8256
